,,,,,
Type,ROM,RAM,Battery,RTC,Title
MBC1,128,-,-,-,aero_star_(j)_[!]
MBC1,128,-,-,-,aero_star_(u)_[!]
MBC1,64,-,-,-,a-force_(sachen_4-in-1_vol._6)_(unl)_[!]
MBC1,64,-,-,-,after_burst_(j)
MBC1,256,-,-,-,aguri_suzuki_f-1_super_driving_(j)
MBC1,128,-,-,-,ah_harimanada_(j)_[!]
MBC5,1024,-,-,-,airforce_delta_(j)_[c][!]
MBC5,1024,-,-,-,airforce_delta_(u)_[c][!]
MBC1,256,-,-,-,akazukin_cha_cha_(j)_[s]
MBC1,256,8,Yes,-,akumajou_dracula_-_shikkokutaru_zensoukyoku_(j)_[s][!]
MBC1,256,-,-,-,akumajou_special_-_boku_dracula-kun_(j)
MBC5,1024,-,-,-,aladdin_(e)_(m6)_[c][!]
MBC1,256,-,-,-,aladdin_(u)_(beta)_[s]
MBC1,256,-,-,-,aladdin_(u)_[s][!]
MBC1,256,-,-,-,alfred_chicken_(j)_[s]
MBC1,128,-,-,-,alfred_chicken_(u)_[!]
MBC5,1024,-,-,-,alfred's_adventure_(e)_(m5)_[c][!]
MBC5,2048,8,Yes,-,alice_in_wonderland_(e)_(m4)_[c][!]
MBC5,2048,8,Yes,-,alice_in_wonderland_(u)_[c][!]
MBC1,128,-,-,-,alien_3_(j)_[!]
MBC1,128,-,-,-,alien_3_(ue)_[!]
MBC1,128,-,-,-,alien_olympics_2044_ad_(u)_[!]
MBC1,128,-,-,-,alien_vs_predator_-_the_last_of_his_clan_(j)
MBC1,128,-,-,-,alien_vs_predator_-_the_last_of_his_clan_(u)_[!]
MBC5,1024,-,-,-,aliens_-_thanatos_encounter_(u)_[c][!]
MBC5,1024,8,Yes,-,all_star_tennis_2000_(u)_[c][!]
ROM,32,-,-,-,alleyway_(jue)_[!]
MBC5,1024,-,-,-,all-star_baseball_2000_(u)_[c][!]
MBC5,1024,-,-,-,all-star_baseball_2001_(u)_[c][!]
MBC1,512,-,-,-,all-star_baseball_'99_(u)_[!]
MBC5,4096,8,Yes,-,alone_in_the_dark_-_the_new_nightmare_(e)_(m6)_[c][!]
MBC5,4096,8,Yes,-,alone_in_the_dark_-_the_new_nightmare_(u)_(m3)_[c][!]
MBC1,128,-,-,-,altered_space_(e)_[!]
MBC1,128,-,-,-,altered_space_(j)
MBC1,128,-,-,-,altered_space_(u)
MBC1,64,-,-,-,amazing_penguin_(u)_[!]
MBC1,64,-,-,-,"amazing_spider-man,_the_(ue)_[!]"
MBC1,128,-,-,-,"amazing_spider-man_2,_the_(ue)_[!]"
MBC1,128,-,-,-,"amazing_spider-man_3,_the_-_invasion_of_the_spider-slayers_(u)_[!]"
MBC1,64,-,-,-,amazing_tater_(u)
MBC1,256,-,-,-,america_oudan_ultra_quiz_(j)_[!]
MBC1,256,-,-,-,america_oudan_ultra_quiz_part_2_(j)_[!]
MBC1,256,-,-,-,america_oudan_ultra_quiz_part_3_(j)_[!]
MBC1,256,-,-,-,america_oudan_ultra_quiz_part_4_(j)_[!]
ROM,32,-,-,-,amida_(j)
MBC1,512,8,Yes,-,animal_breeder_(j)_[s]
MBC1,512,8,Yes,-,animal_breeder_2_(j)_[s]
MBC5,4096,32,Yes,-,animal_breeder_3_(j)_[c][!]
MBC5,4096,32,Yes,-,animal_breeder_4_(j)_[c][!]
MBC1,256,-,-,-,animaniacs_(u)_[s][!]
MBC5,2048,8,Yes,-,animastar_gb_(j)_[c][!]
MBC5,1024,-,-,-,animorphs_(e)_(m5)_[c][!]
MBC5,1024,-,-,-,animorphs_(u)_[c][!]
MBC1,512,8,Yes,-,another_bible_(j)_[s]
MBC1,128,-,-,-,ant_soldiers_(sachen)_[!]
MBC5,1024,-,-,-,antz_(e)_(m6)_[c][!]
MBC5,1024,-,-,-,antz_racing_(e)_(beta)_(m6)_[c][!]
MBC5,1024,-,-,-,antz_racing_(e)_(m6)_[c][!]
MBC5,1024,-,-,-,antz_racing_(u)_(m6)_[c][!]
MBC1,256,-,-,-,aoki_densetsu_shoot!_(j)_[s][!]
MBC5,1024,8,Yes,-,aqualife_(j)_[c][!]
MBC2,128,-,Yes,-,aretha_(j)
MBC2,256,-,Yes,-,aretha_ii_(j)
MBC1,256,8,Yes,-,aretha_iii_(j)
MBC5,1024,32,Yes,-,arle_no_bouken_-_mahou_no_jewel_(j)_[c][!]
MBC5,1024,8,Yes,-,armada_-_fx_racers_(u)_[c][!]
MBC5,1024,-,-,-,armorines_-_project_s.w.a.r.m._(e)_(m2)_[c][!]
MBC5,1024,-,-,-,army_men_(u)_(m3)_[c][!]
MBC5,1024,-,-,-,army_men_-_air_combat_(u)_(m3)_[c][!]
MBC5,1024,-,-,-,army_men_-_sarge's_heroes_2_(u)_(m3)_[c][!]
MBC5,1024,-,-,-,army_men_2_(u)_(m3)_[c][!]
MBC5,1024,-,-,-,arthur's_absolutely_fun_day!_(u)_[c][!]
ROM,32,-,-,-,artic_zone_(sachen_4-in-1_vol._5)_(unl)_[!]
MBC1,128,-,-,-,asterix_(ue)_(m5)_[!]
MBC5,1024,-,-,-,asterix_-_search_for_dogmatix_(e)_(m6)_[c][!]
MBC1,128,-,-,-,asteroids_&_missile_command_(u)_[s][!]
ROM,32,-,-,-,asteroids_(u)
MBC5,1024,-,-,-,asteroids_(u)_[c][!]
MBC1,64,-,-,-,astro_rabby_(j)
MBC1,256,-,-,-,athena_no_hatena_(j)
MBC5,2048,-,-,-,atlantis_-_the_lost_empire_(u)_[c][!]
MBC1,128,-,-,-,atomic_punk_(u)_[!]
MBC5,2048,8,Yes,-,atsumete_asobu_kuma_no_pooh-san_-_mori_no_takaramono_(j)_[c][!]
MBC1,128,-,-,-,attack_of_the_killer_tomatoes_(j)
MBC1,128,-,-,-,attack_of_the_killer_tomatoes_(u)_[!]
MBC5,4096,8,Yes,-,"austin_powers_-_oh,_behave!_(e)_(m5)_[c][!]"
MBC5,4096,8,Yes,-,"austin_powers_-_oh,_behave!_(u)_[c][!]"
MBC5,4096,8,Yes,-,austin_powers_-_welcome_to_my_underground_lair!_(e)_(m5)_[c][!]
MBC5,4096,8,Yes,-,austin_powers_-_welcome_to_my_underground_lair!_(u)_[c][!]
MBC1,256,-,-,-,avenging_spirit_(u)
MBC2,64,-,Yes,-,ayakashi_no_shiro_(j)_[!]
MBC5,2048,8,Yes,-,azure_dreams_(e)_(m3)_[c][!]
MBC5,1024,8,Yes,-,azure_dreams_(u)_[c][!]
MBC1,256,-,-,-,b.c._kid_2_(e)_[s]
MBC5,1024,-,-,-,babe_and_friends_(u)_[c][!]
MBC5,1024,-,-,-,baby_felix_-_halloween_(e)_(m6)_[c][!]
MBC1,128,-,-,-,baby_t-rex_(ue)_[!]
MBC5,1024,-,-,-,backgammon_(e)_(m4)_[c][!]
MBC5,1024,8,Yes,-,backgammon_(j)_[c][!]
MBC1,128,8,Yes,-,bakenou_tv_'94_(j)_[s]
MBC1,128,8,Yes,-,bakenou_v3_(j)
MBC5,1024,8,Yes,-,bakukyuu_renpatsu!!_super_b-daman_-_gekitan!_rising_valkyre!!_(j)_[c][!]
MBC5,1024,8,Yes,-,bakusou_dekotora_densetsu_gb_special_-_otoko_dokyou_no_tenka_touitsu_(j)_[c][!]
MBC5,1024,32,Yes,-,bakusou_senki_metal_walker_gb_-_koutetsu_no_yuujou_(j)_[c][!]
MBC5,2048,32,Yes,-,bakuten_shoot_beyblade_(j)_[c]
MBC5,512,-,-,-,ballistic_(u)_[c][!]
MBC5,256,8,Yes,-,balloon_fight_gb_(j)_[c][!]
MBC1,128,-,-,-,balloon_kid_(jue)_[!]
MBC1,128,-,-,-,bamse_(sw)
MBC1,128,-,-,-,banishing_racer_(j)
MBC5,1024,-,-,-,barbie_-_chasse_au_tresor_sous-marine_(f)_[c][!]
MBC5,1024,-,-,-,barbie_-_fashion_pack_games_(u)_[c][!]
MBC1,128,-,-,-,barbie_-_game_girl_(u)
MBC5,1024,-,-,-,barbie_-_magic_genie_adventure_(u)_[c][!]
MBC5,1024,-,-,-,barbie_-_meeresabenteuer_(g)_[c][!]
MBC5,1024,-,-,-,barbie_-_ocean_discovery_(e)_[c][!]
MBC5,1024,-,-,-,barbie_-_ocean_discovery_(u)_[c][!]
MBC5,1024,-,-,-,barbie_-_pet_rescue_(u)_[c][!]
MBC5,1024,8,Yes,-,barca_total_2000_(e)_(m7)_[c][!]
MBC3,1024,32,Yes,RTC,barcode_taisen_bardigun_(j)_[c][!]
MBC1,64,-,-,-,baseball_(ju)_[!]
MBC1,128,-,-,-,baseball_kids_(j)
MBC1,128,-,-,-,bases_loaded_(u)_[!]
MBC5,1024,-,-,-,bass_masters_classic_(u)_[c][!]
MBC1,128,-,-,-,batman_(ju)_[!]
MBC1,128,-,-,-,batman_-_return_of_the_joker_(j)
MBC1,128,-,-,-,batman_-_return_of_the_joker_(u)_[!]
MBC1,128,-,-,-,batman_-_the_animated_series_(u)
MBC5,1024,-,-,-,batman_beyond_-_return_of_the_joker_(u)_[c][!]
MBC1,256,-,-,-,batman_forever_(j)
MBC1,256,-,-,-,batman_forever_(u)_[!]
MBC5,1024,-,-,-,batman_of_the_future_-_return_of_the_joker_(e)_(m3)_[c][!]
MBC1,512,-,-,-,battle_arena_toshinden_(e)_[s]
MBC1,512,-,-,-,battle_arena_toshinden_(j)_[s]
MBC1,512,-,-,-,battle_arena_toshinden_(u)_[s][!]
MBC1,128,-,-,-,battle_bull_(e)_[!]
MBC1,128,-,-,-,battle_bull_(j)
MBC1,256,-,-,-,battle_crusher_(j)_[s]
MBC1,128,8,Yes,-,battle_dodge_ball_(j)
MBC5,2048,8,Yes,-,battle_fishers_(j)_[c][!]
MBC1,128,-,-,-,battle_of_kingdom_(j)
MBC1,256,-,-,-,"battle_of_olympus,_the_(ue)_(m5)"
MBC1,64,-,-,-,battle_pingpong_(j)
MBC1,64,-,-,-,battle_space_(j)
MBC5,1024,-,-,-,battle_tanx_(u)_[c][!]
MBC1,128,-,-,-,battle_unit_zeoth_(j)
MBC1,128,-,-,-,battle_unit_zeoth_(u)_[!]
MBC1,256,-,-,-,battle_zone_&_super_breakout_(u)_[s]
ROM,32,-,-,-,battlecity_(j)_[!]
MBC5,1024,-,-,-,battleship_(u)_[c][!]
MBC1,64,-,-,-,battleship_(u)_[m][!]
MBC1,128,-,-,-,battletoads_(j)
MBC1,128,-,-,-,battletoads_(u)_[!]
MBC1,256,-,-,-,battletoads_double_dragon_-_the_ultimate_team_(e)_[!]
MBC1,256,-,-,-,battletoads_double_dragon_-_the_ultimate_team_(u)
MBC1,128,-,-,-,battletoads_in_ragnarok's_world_(e)_[!]
MBC1,128,-,-,-,battletoads_in_ragnarok's_world_(u)
MBC5,1024,8,Yes,-,b-daman_bakugaiden_-_victory_heno_michi_(j)_[c][!]
MBC5,2048,8,Yes,-,b-daman_bakugaiden_v_-_final_mega_tune_(j)_[c][!]
MBC1,256,-,-,-,beach_volleyball_(j)_[s]
MBC5,1024,-,-,-,beach'n_ball_(e)_(m5)_[c][!]
MBC5,1024,-,-,-,beatmania_gb_(j)_[c][!]
MBC5,1024,-,-,-,beatmania_gb_2_(j)_[c][!]
MBC5,2048,-,-,-,beatmania_gb_gotcha_mix_2_(j)_[c][!]
MBC5,1024,8,Yes,-,beauty_and_the_beast_-_a_board_game_adventure_(e)_(m5)_[c][!]
MBC5,1024,8,Yes,-,beauty_and_the_beast_-_a_board_game_adventure_(u)_[c][!]
MBC1,512,-,-,-,beavis_and_butthead_(u)_[!]
MBC1,128,-,-,-,beethoven's_2nd_(u)_[s]
MBC1,128,-,-,-,beetlejuice_(u)
MBC5,2048,-,-,-,benjamin_bluemchen_-_ein_verrueckter_tag_im_zoo_(g)_[c][!]
MBC1,128,-,-,-,berlitz_french_language_translator_(u)
MBC1,128,-,-,-,berlitz_spanish_language_translator_(u)
MBC3,512,8,Yes,RTC,berutomo_kurabu_(j)_[s][!]
MBC1,256,-,-,-,best_of_the_best_-_championship_karate_(u)_[!]
MBC5,2048,32,Yes,-,beyblade_-_tournament_fighting_(j)_[c][!]
MBC5,1024,-,-,-,bibi_blocksberg_-_im_bann_der_hexenkugel_(g)_[c][!]
MBC1,256,-,-,-,bikkuri_nekketsu_shinkiroku!_-_dokodemo_kin_medal_(j)
MBC5,2048,8,Yes,-,bikkuriman_2000_-_charging_card_gb_(j)_[c][!]
MBC1,128,-,-,-,bill_&_ted's_excellent_gameboy_adventure_(ue)_[!]
MBC1,128,-,-,-,bill_elliott's_nascar_fast_tracks_(u)
MBC5,1024,-,-,-,billy_bob's_huntin'_'n'_fishin'_(u)_[c][!]
MBC1,64,-,-,-,bionic_battler_(u)
MBC1,256,-,-,-,bionic_commando_(j)
MBC1,256,-,-,-,bionic_commando_(u)_[!]
MBC5,2048,8,Yes,-,bionic_commando_-_elite_forces_(u)_[c][!]
MBC1,128,-,-,-,bishoujo_senshi_sailor_moon_(j)
MBC1,256,-,-,-,bishoujo_senshi_sailor_moon_r_(j)
MBC5,1024,-,-,-,black_bass_-_lure_fishing_(u)_[c][!]
MBC5,1024,-,-,-,black_bass_-_lure_fishing_(u)_[c][f1]
MBC1,256,-,-,-,black_bass_-_lure_fishing_(u)_[m][!]
MBC1,64,-,-,-,black_forest_tale_(sachen_4-in-1_vol._6)_(unl)_[!]
MBC5,1024,8,Yes,-,"black_onyx,_the_(j)_[c][!]"
MBC5,1024,-,-,-,blade_(u)_[c][!]
MBC1,128,-,-,-,blades_of_steel_(e)_[m][!]
MBC1,128,-,-,-,blades_of_steel_(u)_[m][!]
MBC5,1024,-,-,-,blaster_master_-_enemy_below_(u)_[c][!]
MBC1,128,-,-,-,blaster_master_boy_(u)
MBC1,128,-,-,-,blaster_master_jr._(e)
MBC1,128,-,-,-,block_kuzushi_gb_(j)_[s]
MBC1,64,-,-,-,blodia_(j)
MBC1,128,-,-,-,"blues_brothers,_the_(u)_[!]"
MBC1,128,-,-,-,"blues_brothers,_the_-_jukebox_adventure_(u)"
MBC5,1024,-,-,-,blue's_clues_-_blue's_alphabet_book_(u)_[c][!]
MBC1,128,-,-,-,bo_jackson_hit_and_run_(u)_[!]
MBC5,2048,-,-,-,boarder_zone_(u)_[c][!]
MBC5,1024,-,-,-,bob_the_builder_-_fix_it_fun!_(e)_(m5)_[c][!]
MBC5,1024,-,-,-,bob_the_builder_-_fix_it_fun!_(u)_[c][!]
MBC1,128,-,-,-,boggle_plus_(u)_[!]
MBC3,1024,32,Yes,-,bokemob_v2.2_(pokemon_blue_hack)
MBC3,1024,32,Yes,-,bokemob_v2.5_(pokemon_blue_hack)
MBC5,2048,8,Yes,-,boku_no_camp-jou_(j)_[c][!]
MBC3,512,8,Yes,RTC,bokujou_monogatari_gb_(j)_(v1.0)_[s]
MBC3,512,8,Yes,RTC,bokujou_monogatari_gb_(j)_(v1.1)_[s]
MBC5,2048,32,Yes,-,bokujou_monogatari_gb2_(j)_[c][!]
MBC5,2048,32,Yes,-,bokujou_monogatari_gb3_-_boy_meets_girl_(j)_[c][!]
ROM,32,-,-,-,bomb_disposer_(sachen_4-in-1_vol._6)_(unl)_[!]
ROM,32,-,-,-,bomb_jack_(u)
MBC1,128,-,-,-,bomber_boy_(j)
MBC1,128,-,-,-,bomber_king_-_scenario_2_(j)
MBC1,1024,-,-,-,bomberman_collection_(j)_[s]
MBC1,256,-,-,-,bomberman_gb_(j)_[s]
MBC1,256,-,-,-,bomberman_gb_(u)_[s][!]
MBC1,256,-,-,-,bomberman_gb_2_(j)_[s]
MBC1,256,-,-,-,bomberman_gb_3_(j)_[s]
MBC5,2048,8,Yes,-,bomberman_max_-_ain_version_(j)_[c][!]
MBC5,2048,8,Yes,-,bomberman_max_-_blue_champion_(u)_[c][!]
MBC5,2048,8,Yes,-,bomberman_max_-_hikari_no_yuusha_(j)_[c][!]
MBC5,2048,8,Yes,-,bomberman_max_-_red_challenger_(u)_[c][!]
MBC5,2048,8,Yes,-,bomberman_max_-_yami_no_senshi_(j)_[c][!]
MBC5,2048,8,Yes,-,bomberman_quest_(e)_(m3)_[c][!]
MBC1,1024,8,Yes,-,bomberman_quest_(j)_[c][!]
MBC5,1024,8,Yes,-,bomberman_quest_(u)_[c][!]
MBC3,1024,32,Yes,-,bombermon_by_colosseum_translations_(pokemon_blue_hack)
MBC1,256,-,-,-,bonk's_adventure_(u)_[!]
MBC1,256,-,-,-,bonk's_revenge_(u)_[s][!]
MBC1,256,-,-,-,booby_boys_(j)
MBC1,64,-,-,-,boomer's_adventure_in_asmik_world_(j)
MBC1,64,-,-,-,boomer's_adventure_in_asmik_world_(u)_[!]
MBC1,128,-,-,-,boomer's_adventure_in_asmik_world_2_(j)
MBC1,64,-,-,-,boulder_dash_(j)_[!]
MBC1,64,-,-,-,boulder_dash_(u)_[!]
MBC1,64,-,-,-,boxing_(j)
ROM,32,-,-,-,boxxle_(u)_(v1.1)_[!]
ROM,32,-,-,-,boxxle_2_(u)
MBC1,64,-,-,-,"boy_and_his_blob,_a_-_the_rescue_of_princess_blobette_(e)_[!]"
MBC1,64,-,-,-,"boy_and_his_blob,_a_-_the_rescue_of_princess_blobette_(u)_[!]"
MBC1,128,-,-,-,brain_drain_(e)_[s]
MBC1,128,-,-,-,brain_drain_(j)_[s]
MBC1,128,-,-,-,brain_drain_(u)_[s][!]
ROM,32,-,-,-,brainbender_(u)_[!]
MBC1,128,-,-,-,bram_stoker's_dracula_(u)_[!]
MBC5,2048,32,Yes,-,brave_saga_-_shinshou_astaria_(j)_[c][!]
MBC1,128,-,-,-,breakthru!_(u)
MBC5,1024,-,-,-,bubble_bobble_(e)_[c][!]
MBC1,128,-,-,-,bubble_bobble_(j)
MBC5,1024,-,-,-,bubble_bobble_(j)_[c][!]
MBC5,1024,-,-,-,bubble_bobble_(u)_[c][!]
MBC1,128,-,-,-,bubble_bobble_(u)_[m][!]
MBC1,128,-,-,-,bubble_bobble_jr._(j)
MBC1,128,-,-,-,bubble_bobble_part_2_(u)_[!]
ROM,32,-,-,-,bubble_ghost_(j)
ROM,32,-,-,-,bubble_ghost_(u)_[!]
MBC1,256,-,-,-,bubsy_2_(e)
MBC1,256,-,-,-,bubsy_2_(u)_[!]
MBC5,1024,-,-,-,buffy_the_vampire_slayer_(u)_[c][!]
MBC5,1024,-,-,-,bugs_bunny_&_lola_bunny_-_carrot_crazy_(u)_(m3)_[c][!]
MBC5,1024,-,-,-,bugs_bunny_&_lola_bunny_-_operation_carrots_(e)_(m6)_[c][!]
MBC1,64,-,-,-,bugs_bunny_(u)_[!]
MBC5,1024,-,-,-,bugs_bunny_-_crazy_castle_3_(j)_[c][!]
MBC5,512,-,-,-,bugs_bunny_-_crazy_castle_3_(j)_[c][f1]
MBC5,1024,-,-,-,bugs_bunny_-_crazy_castle_3_(u)_[c][!]
MBC5,1024,-,-,-,bugs_bunny_-_crazy_castle_4_(e)_[c][!]
MBC5,1024,-,-,-,bugs_bunny_-_crazy_castle_4_(j)_[c][!]
MBC5,1024,-,-,-,bugs_bunny_-_crazy_castle_4_(u)_[c][!]
MBC1,128,-,-,-,bugs_bunny_-_crazy_castle_ii_(u)_[!]
MBC1,256,-,-,-,bugs_bunny_collection_(j)_(v1.0)_[s]
MBC1,256,-,-,-,bugs_bunny_collection_(j)_(v1.1)_[s]
MBC5,1024,-,-,-,"bug's_life,_a_(e)_[c][!]"
MBC5,1024,-,-,-,"bug's_life,_a_(u)_[c][!]"
MBC5,1024,-,-,-,bundesliga_stars_2001_(g)_[c][!]
MBC5,1024,-,-,-,burai_fighter_color_(j)_[c][!]
MBC1,64,-,-,-,burai_fighter_deluxe_(j)
MBC1,64,-,-,-,burai_fighter_deluxe_(ue)_[!]
MBC5,1024,-,-,-,burger_burger_pocket_(j)_[c][!]
MBC5,1024,8,Yes,-,burger_paradise_(j)_[c][!]
MBC1,64,-,-,-,burger_time_deluxe_(ju)_[!]
MBC1,128,-,-,-,burning_paper_(j)
MBC1,128,-,-,-,bust-a-move_2_-_arcade_edition_(u)
MBC1,128,-,-,-,bust-a-move_3_dx_(u)
MBC5,512,-,-,-,bust-a-move_4_(ue)_[c][!]
MBC5,1024,-,-,-,bust-a-move_millennium_(u)_[c][!]
MBC1,128,-,-,-,buster_brothers_(u)
MBC5,512,-,-,-,buzz_lightyear_of_star_command_(g)_[c][!]
MBC5,512,-,-,-,buzz_lightyear_of_star_command_(u)_[c][!]
MBC1,64,-,-,-,ca_da_(j)
MBC1,64,-,-,-,cadillac_ii_(j)
MBC1,128,-,-,-,caesars_palace_(e)_(m5)
MBC1,128,-,-,-,caesars_palace_(j)
MBC1,128,-,-,-,caesars_palace_(u)
MBC5,1024,8,Yes,-,caesars_palace_ii_(u)_[c][!]
MBC5,1024,8,Yes,-,caesars_palace_ii_(u)_[c][f1]
MBC5,4096,8,Yes,-,cannon_fodder_(e)_(m5)_[c][!]
MBC1,256,-,-,-,capcom_quiz_(j)
MBC1,512,-,-,-,captain_tsubasa_(j)_[s][!]
MBC1,256,-,-,-,captain_tsubasa_vs_(j)
MBC1,64,-,-,-,card_game_(j)
MBC3,512,8,Yes,RTC,cardcaptor_sakura_-_itsumo_sakura-chan_to_issho_(j)_(v1.0)_[c][!]
MBC3,512,8,Yes,RTC,cardcaptor_sakura_-_itsumo_sakura-chan_to_issho_(j)_(v1.1)_[c][!]
MBC5,2048,8,Yes,-,cardcaptor_sakura_-_tomoe_shougakkou_daiundoukai_(j)_[c][!]
MBC5,1024,8,Yes,-,carl_lewis_athletics_2000_(u)_(m6)_[c][!]
MBC5,2048,-,-,-,carmageddon_(e)_(m4)_[c][!]
MBC5,2048,-,-,-,carmageddon_(g)_[c][!]
MBC1,128,-,-,-,casino_funpak_(u)_[!]
MBC5,1024,8,Yes,-,casper_(e)_(m3)_[c][!]
MBC1,128,-,-,-,casper_(e)_[s]
MBC1,128,-,-,-,casper_(u)_[!]
MBC5,1024,8,Yes,-,casper_(u)_[c][!]
ROM,32,-,-,-,castelian_(e)_[!]
ROM,32,-,-,-,castelian_(u)
MBC1,128,-,-,-,castle_quest_(u)_[!]
MBC1,256,-,-,-,castlevania_-_legends_(g)_[s]
MBC1,256,-,-,-,castlevania_-_legends_(u)_[s]
MBC1,64,-,-,-,"castlevania_adventure,_the_(e)_[!]"
MBC1,64,-,-,-,"castlevania_adventure,_the_(u)_[!]"
MBC1,128,-,-,-,castlevania_ii_-_belmont's_revenge_(u)_[!]
MBC5,1024,-,-,-,caterpillar_construction_zone_(u)_[c][!]
ROM,32,-,-,-,catrap_(u)_[!]
MBC5,1024,-,-,-,catwoman_(e)_[c][!]
MBC5,1024,-,-,-,catwoman_(u)_[c][!]
MBC5,1024,8,Yes,-,catz_-_your_virtual_petz_palz_(e)_[c][!]
MBC5,1024,8,Yes,-,catz_-_your_virtual_petz_palz_(u)_[c][!]
MBC2,128,-,Yes,-,cave_noire_(j)
MBC5,512,-,-,-,centipede_(e)_(m6)_[c][!]
ROM,32,-,-,-,centipede_(e)_[m][!]
MBC5,1024,-,-,-,centipede_(u)_[c][!]
MBC1,128,-,-,-,centipede_(u)_[m]
MBC1,64,-,-,-,chacha_maru_panic_(j)
MBC2,128,-,Yes,-,chachamaru_boukenki_3_-_abyss_no_tou_(j)
MBC1,32,128,Yes,-,challenger_gb_bios_[c][!]
MBC1,512,-,-,-,chalvo_55_-_super_puzzle_action_(j)
MBC5,1024,-,-,-,championship_motocross_2001_featuring_ricky_carmichael_(u)_[c][!]
MBC1,128,-,-,-,championship_pool_(ue)_[!]
MBC1,128,-,-,-,chase_h.q._(j)
MBC1,128,-,-,-,chase_h.q._(u)_(v1.1)_[!]
MBC5,1024,-,-,-,chase_h.q._-_secret_police_(j)_[c][!]
MBC5,1024,-,-,-,chase_h.q._-_secret_police_(u)_(metro_3d_re-release)_[c][!]
MBC5,1024,-,-,-,chase_h.q._-_secret_police_(u)_[c][!]
MBC5,1024,8,Yes,-,checkmate_(j)_(m2)_[c][!]
RUMBLE,4096,32,Yes,-,chee-chai_alien_(j)_[c][!]
MBC5,1024,-,-,-,"chessmaster,_the_(u)_[c][!]"
MBC1,64,-,-,-,"chessmaster,_the_(ue)_(v1.0)_[!]"
MBC1,64,-,-,-,"chessmaster,_the_(ue)_(v1.1)_[!]"
MBC5,1024,8,Yes,-,chi_to_ase_to_namida_no_koukou_yakyuu_(j)_[c][!]
MBC5,1024,8,Yes,-,chibi_maruko-chan_-_go_chounai_minna_de_game_dayo!_(j)_[c]
MBC1,128,-,-,-,chibi_maruko-chan_-_maruko_deluxe_gekijou_(j)_[s]
MBC1,64,-,-,-,chibi_maruko-chan_-_okozukai_daisakusen_(j)
MBC1,128,-,-,-,chibi_maruko-chan_2_-_deluxe_maruko_world_(j)
MBC1,128,-,-,-,chibi_maruko-chan_3_-_mezase!_game_taishou_no_maki_(j)
MBC1,128,-,-,-,chibi_maruko-chan_4_-_kore_ga_nippon_dayo!_ouji-sama_(j)
MBC5,1024,-,-,-,chicken_run_(u)_(m5)_[c][!]
ROM,32,-,-,-,chiki_chiki_tengoku_(j)
MBC2,128,-,Yes,-,chiki_race_(j)_[!]
MBC1,128,-,-,-,chip_the_chick_(peetan_hack)
MBC1,128,-,-,-,choplifter_ii_(j)
MBC1,128,-,-,-,choplifter_ii_-_rescue_&_survive_(e)_[!]
MBC1,128,-,-,-,choplifter_ii_-_rescue_&_survive_(u)
MBC1,128,-,-,-,choplifter_iii_(ue)_[!]
